epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
86,3594.33,1.0625,0.65971,0.00846,0.8928,0.89665,0.93691,0.62594,1.28082,0.65699,0.01447,0.001585,0.001585,0.001585
87,3636.2,1.06622,0.66308,0.00835,0.8959,0.89962,0.93593,0.62702,1.26262,0.63764,0.01427,0.001486,0.001486,0.001486
88,3678.15,1.056,0.66441,0.00859,0.91552,0.88288,0.93505,0.62301,1.27301,0.62345,0.01426,0.001387,0.001387,0.001387
89,3720.06,1.0594,0.64305,0.00824,0.90498,0.89272,0.93459,0.62159,1.28993,0.63157,0.01459,0.001288,0.001288,0.001288
90,3761.83,1.04799,0.64601,0.00824,0.9052,0.89146,0.93541,0.6261,1.27994,0.62068,0.01442,0.001189,0.001189,0.001189
91,3804.9,0.94914,0.43269,0.00889,0.89775,0.90272,0.93384,0.61699,1.28664,0.63993,0.01447,0.00109,0.00109,0.00109
92,3846.37,0.94376,0.41064,0.00888,0.90692,0.89038,0.9363,0.62294,1.28352,0.62892,0.01437,0.000991,0.000991,0.000991
93,3887.76,0.93498,0.40405,0.00868,0.90815,0.89249,0.93519,0.62223,1.28225,0.63162,0.0144,0.000892,0.000892,0.000892
94,3929.19,0.92487,0.40068,0.00855,0.9085,0.89973,0.93463,0.62041,1.28777,0.63334,0.01453,0.000793,0.000793,0.000793
95,3970.75,0.92098,0.39402,0.00862,0.90922,0.89757,0.93419,0.6244,1.2749,0.64085,0.01428,0.000694,0.000694,0.000694
96,4012.29,0.92466,0.39767,0.00882,0.91248,0.89764,0.93523,0.62399,1.28129,0.63468,0.01443,0.000595,0.000595,0.000595
97,4053.79,0.91697,0.38732,0.00864,0.90463,0.89783,0.92851,0.61678,1.30114,0.65704,0.01473,0.000496,0.000496,0.000496
98,4095.33,0.9116,0.38431,0.00848,0.89782,0.89647,0.93007,0.62106,1.28873,0.63753,0.01457,0.000397,0.000397,0.000397
99,4136.82,0.89958,0.38391,0.00843,0.90215,0.89867,0.92863,0.61766,1.28659,0.63938,0.01448,0.000298,0.000298,0.000298
100,4178.3,0.90442,0.38737,0.00851,0.90664,0.90111,0.93257,0.62203,1.28743,0.63712,0.01453,0.000199,0.000199,0.000199
