epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3986.12,0.97105,0.67803,1.23906,0.87313,0.9006,0.93089,0.63781,1.16935,0.73667,1.53104,0.001486,0.001486,0.001486
88,4031.65,0.9751,0.67799,1.24737,0.87601,0.89366,0.93475,0.63795,1.18162,0.73783,1.54683,0.001387,0.001387,0.001387
89,4077.11,0.95684,0.6578,1.22394,0.88719,0.89377,0.93885,0.63685,1.18524,0.74005,1.52867,0.001288,0.001288,0.001288
90,4122.64,0.95995,0.66386,1.22629,0.87393,0.91382,0.94409,0.6335,1.18077,0.7229,1.53578,0.001189,0.001189,0.001189
91,4169.27,0.88518,0.53992,1.23696,0.86924,0.90314,0.9374,0.64005,1.18407,0.7355,1.53298,0.00109,0.00109,0.00109
92,4214.81,0.88464,0.52509,1.23039,0.88872,0.90145,0.94076,0.63784,1.18361,0.72163,1.52791,0.000991,0.000991,0.000991
93,4260.14,0.8684,0.51329,1.22376,0.89297,0.90761,0.94477,0.63929,1.18287,0.72142,1.52773,0.000892,0.000892,0.000892
94,4305.55,0.85874,0.50647,1.21219,0.87302,0.9004,0.93582,0.63533,1.18877,0.73426,1.55215,0.000793,0.000793,0.000793
95,4350.96,0.84671,0.49635,1.20815,0.89151,0.89369,0.94013,0.6383,1.19416,0.72181,1.54733,0.000694,0.000694,0.000694
96,4396.33,0.85731,0.50168,1.22045,0.88469,0.90254,0.93736,0.63547,1.18405,0.71804,1.53663,0.000595,0.000595,0.000595
97,4441.83,0.84821,0.49297,1.21136,0.88305,0.90812,0.94365,0.63949,1.19625,0.70635,1.54783,0.000496,0.000496,0.000496
98,4487.23,0.84013,0.48774,1.20088,0.88223,0.91171,0.93914,0.63402,1.19152,0.71584,1.54588,0.000397,0.000397,0.000397
99,4532.57,0.83538,0.48568,1.2062,0.89599,0.90048,0.94255,0.64058,1.19482,0.713,1.55178,0.000298,0.000298,0.000298
100,4578.02,0.83861,0.48825,1.20731,0.88452,0.91444,0.94482,0.64046,1.19094,0.71465,1.54218,0.000199,0.000199,0.000199
